tenure,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_method,internet_service,churn
18,68.01,1223.18,5,1.0,Month-to-month,Credit card,DSL,1
44,119.76,5059.8,1,1.0,Two year,Bank transfer,No,0
49,31.44,1538.59,4,3.0,Month-to-month,Credit card,Fiber optic,1
9,105.2,930.07,1,,One year,Mailed check,Fiber optic,1
37,106.37,3824.36,5,8.0,One year,Bank transfer,DSL,1
27,75.32,1992.82,1,7.0,Month-to-month,Mailed check,Fiber optic,1
37,54.4,2032.59,4,3.0,Month-to-month,Credit card,Fiber optic,1
70,71.92,4994.32,3,4.0,One year,Electronic check,DSL,0
6,49.25,297.97,1,0.0,Two year,Credit card,Fiber optic,0
72,99.91,6323.96,4,8.0,Two year,Bank transfer,DSL,1
33,69.83,2271.06,2,3.0,One year,Credit card,Fiber optic,1
56,112.58,6288.12,2,5.0,Month-to-month,Bank transfer,DSL,1
31,82.27,2320.82,7,4.0,Month-to-month,Mailed check,No,1
23,71.43,1683.82,3,3.0,One year,Mailed check,Fiber optic,1
56,91.11,4647.77,3,1.0,Month-to-month,Electronic check,Fiber optic,1
50,70.39,3163.21,1,10.0,One year,Credit card,Fiber optic,1
11,110.45,1243.4,3,1.0,Month-to-month,Electronic check,Fiber optic,1
51,38.44,1763.23,3,10.0,Month-to-month,Credit card,DSL,1
55,117.33,6021.44,6,1.0,One year,Bank transfer,Fiber optic,0
28,101.22,2617.59,1,1.0,One year,Electronic check,DSL,1
67,106.07,7317.14,7,9.0,One year,Credit card,DSL,0
47,68.29,3020.41,1,10.0,Month-to-month,Electronic check,No,1
25,103.72,2564.12,5,9.0,Two year,Electronic check,DSL,1
1,50.68,51.13,1,8.0,Month-to-month,Bank transfer,No,1
49,96.19,4598.21,6,5.0,One year,Electronic check,No,1
16,34.05,565.9,5,,One year,Electronic check,Fiber optic,0
55,50.71,2818.34,6,6.0,Month-to-month,Bank transfer,DSL,1
38,64.57,2282.01,7,5.0,One year,Credit card,Fiber optic,0
34,52.23,1847.14,6,8.0,One year,Electronic check,No,0
12,58.7,672.64,5,0.0,Month-to-month,Bank transfer,Fiber optic,1
52,102.01,4532.79,6,0.0,One year,Bank transfer,DSL,0
12,45.67,494.33,1,6.0,Month-to-month,Electronic check,DSL,1
31,94.53,2855.25,5,9.0,Two year,Electronic check,Fiber optic,1
61,27.37,1471.5,7,10.0,Month-to-month,Mailed check,DSL,1
67,96.57,,3,6.0,Month-to-month,Bank transfer,DSL,1
72,99.2,6587.58,7,4.0,One year,Electronic check,Fiber optic,0
69,60.17,3972.7,4,5.0,Month-to-month,Mailed check,Fiber optic,1
41,92.25,3216.33,4,5.0,Two year,Mailed check,DSL,0
15,111.51,1705.57,3,6.0,Month-to-month,Bank transfer,No,1
61,100.07,5630.49,1,2.0,Month-to-month,Electronic check,DSL,1
58,59.04,3006.66,7,4.0,Month-to-month,Bank transfer,DSL,1
72,68.42,4618.76,6,5.0,Month-to-month,Credit card,DSL,0
47,97.94,4360.3,3,9.0,Month-to-month,Bank transfer,DSL,0
11,49.26,529.66,7,8.0,Month-to-month,Bank transfer,Fiber optic,1
37,100.39,3546.96,2,8.0,Month-to-month,Electronic check,DSL,1
33,52.81,1496.49,6,2.0,Month-to-month,Credit card,No,0
61,100.6,6285.73,4,4.0,Month-to-month,Mailed check,No,1
29,28.68,782.9,5,6.0,Month-to-month,Electronic check,DSL,1
24,24.44,507.61,1,,Month-to-month,Bank transfer,Fiber optic,0
6,119.77,721.9,5,3.0,Month-to-month,Mailed check,Fiber optic,1
61,106.95,6406.72,5,10.0,Month-to-month,Mailed check,No,0
55,108.28,5835.62,7,8.0,Month-to-month,Credit card,DSL,1
3,115.13,323.07,3,6.0,Month-to-month,Bank transfer,Fiber optic,1
32,63.83,1903.87,1,7.0,Month-to-month,Mailed check,DSL,1
35,48.68,,1,8.0,Two year,Credit card,DSL,1
34,33.0,965.05,2,,Month-to-month,Mailed check,No,0
67,70.12,4274.24,3,7.0,Month-to-month,Credit card,DSL,1
11,42.0,483.98,6,4.0,One year,Credit card,Fiber optic,0
23,113.56,2566.01,2,4.0,Month-to-month,Mailed check,DSL,1
14,20.4,266.69,2,6.0,Month-to-month,Credit card,No,0
18,34.32,552.57,1,9.0,One year,Bank transfer,Fiber optic,0
66,44.65,2944.08,3,7.0,One year,Credit card,DSL,1
68,39.9,2447.46,5,10.0,Two year,Mailed check,Fiber optic,0
4,42.58,150.3,2,7.0,Two year,Mailed check,DSL,1
46,85.6,3468.64,4,4.0,One year,Mailed check,DSL,1
17,52.75,893.03,2,6.0,One year,Bank transfer,Fiber optic,0
14,81.5,1116.54,6,6.0,Month-to-month,Bank transfer,No,0
22,109.03,2072.35,1,,Two year,Mailed check,Fiber optic,1
14,80.26,980.95,2,2.0,One year,Mailed check,DSL,1
36,89.45,3145.39,4,2.0,Month-to-month,Mailed check,DSL,1
72,56.55,,6,2.0,Month-to-month,Bank transfer,Fiber optic,0
43,35.97,1526.91,3,0.0,One year,Electronic check,DSL,0
53,52.06,2443.55,1,7.0,Month-to-month,Bank transfer,Fiber optic,1
36,116.43,4171.85,4,10.0,Two year,Credit card,Fiber optic,1
2,82.18,170.48,2,,Month-to-month,Mailed check,No,0
7,47.75,324.29,3,0.0,Two year,Mailed check,Fiber optic,1
20,65.09,1157.59,7,4.0,Month-to-month,Electronic check,No,1
18,103.55,1837.64,7,9.0,One year,Bank transfer,Fiber optic,1
61,86.84,4866.13,2,0.0,Month-to-month,Mailed check,Fiber optic,0
61,76.07,3989.97,5,6.0,Month-to-month,Credit card,DSL,1
62,108.52,6125.85,4,4.0,Month-to-month,Credit card,Fiber optic,0
46,87.24,4137.91,7,10.0,Month-to-month,Credit card,DSL,0
41,84.27,,7,5.0,Month-to-month,Electronic check,DSL,1
47,38.98,1874.07,3,6.0,Two year,Electronic check,Fiber optic,0
30,30.64,874.83,1,7.0,Month-to-month,Mailed check,DSL,0
49,116.51,5442.93,1,9.0,One year,Bank transfer,No,1
58,79.89,3943.41,1,5.0,One year,Electronic check,No,0
55,61.57,3309.89,6,7.0,Month-to-month,Mailed check,Fiber optic,1
45,78.9,3094.48,6,8.0,Two year,Electronic check,Fiber optic,0
5,26.18,123.8,6,5.0,One year,Mailed check,DSL,1
53,102.21,4886.59,1,7.0,One year,Mailed check,DSL,1
27,41.66,1044.37,1,3.0,Two year,Electronic check,DSL,0
54,100.45,5193.31,2,3.0,One year,Mailed check,Fiber optic,0
39,73.44,2442.82,5,0.0,Two year,Bank transfer,No,1
64,47.66,2766.31,1,7.0,Month-to-month,Credit card,DSL,1
25,23.02,603.08,5,2.0,Month-to-month,Credit card,DSL,0
68,101.58,5950.62,7,8.0,One year,Mailed check,DSL,0
61,37.65,2098.86,2,10.0,Month-to-month,Credit card,Fiber optic,1
24,25.18,552.52,6,9.0,One year,Mailed check,DSL,1
35,95.59,,4,3.0,Month-to-month,Mailed check,Fiber optic,1
39,55.0,2117.02,7,7.0,Month-to-month,Credit card,DSL,1
56,58.93,2968.58,2,8.0,Two year,Mailed check,DSL,1
50,44.71,2105.96,2,5.0,Month-to-month,Bank transfer,Fiber optic,1
62,105.92,6428.95,1,5.0,Month-to-month,Electronic check,No,1
27,49.73,1227.86,5,4.0,One year,Mailed check,DSL,1
37,41.02,1578.08,7,3.0,One year,Credit card,DSL,0
32,50.92,1704.29,1,6.0,Two year,Electronic check,DSL,1
66,40.31,2325.07,4,10.0,Month-to-month,Credit card,Fiber optic,1
22,51.77,1046.42,6,2.0,Two year,Mailed check,Fiber optic,0
43,28.29,1084.6,6,0.0,One year,Credit card,Fiber optic,0
9,35.85,286.31,7,0.0,Two year,Mailed check,Fiber optic,0
62,61.71,3627.82,6,6.0,Month-to-month,Mailed check,No,1
28,107.95,2910.05,7,2.0,Month-to-month,Mailed check,DSL,1
25,25.73,601.52,7,5.0,Month-to-month,Electronic check,DSL,1
42,41.27,1567.83,7,10.0,One year,Credit card,Fiber optic,0
36,110.83,3613.73,4,0.0,Month-to-month,Bank transfer,Fiber optic,1
62,109.0,7085.26,3,1.0,Month-to-month,Bank transfer,DSL,1
39,87.95,3549.19,3,2.0,One year,Mailed check,No,1
38,44.05,1448.22,7,5.0,Month-to-month,Credit card,Fiber optic,1
8,61.98,,2,7.0,Month-to-month,Mailed check,No,1
2,41.12,77.42,6,2.0,Month-to-month,Electronic check,No,1
29,32.86,941.28,5,1.0,Two year,Electronic check,Fiber optic,0
72,58.0,4048.18,1,0.0,One year,Credit card,No,0
67,77.58,5342.62,4,8.0,One year,Electronic check,Fiber optic,1
46,55.99,2223.72,2,0.0,Two year,Credit card,Fiber optic,0
46,81.08,3431.01,6,6.0,One year,Mailed check,Fiber optic,1
29,49.63,1507.06,4,6.0,Month-to-month,Electronic check,No,1
13,54.59,,3,1.0,One year,Credit card,Fiber optic,1
1,99.07,86.73,1,6.0,Two year,Bank transfer,Fiber optic,1
25,107.83,2684.41,1,3.0,Month-to-month,Bank transfer,DSL,1
23,52.2,,6,5.0,One year,Bank transfer,No,1
14,77.15,1063.31,7,1.0,Month-to-month,Credit card,Fiber optic,1
19,47.82,913.34,3,7.0,Two year,Electronic check,Fiber optic,1
2,25.33,50.09,6,8.0,One year,Electronic check,Fiber optic,0
44,93.79,3619.8,4,0.0,Two year,Bank transfer,Fiber optic,0
67,37.1,2415.22,3,5.0,One year,Bank transfer,DSL,0
50,62.57,3145.32,4,7.0,Month-to-month,Bank transfer,Fiber optic,1
33,68.7,2319.48,5,,Month-to-month,Mailed check,DSL,1
31,38.45,1071.86,7,7.0,Two year,Bank transfer,DSL,0
23,29.46,593.21,4,5.0,Month-to-month,Electronic check,DSL,1
11,54.8,606.55,3,3.0,Month-to-month,Bank transfer,Fiber optic,1
44,115.23,4569.75,6,5.0,One year,Mailed check,DSL,0
41,81.51,2861.96,4,7.0,Month-to-month,Mailed check,DSL,1
1,58.14,59.01,3,7.0,Month-to-month,Electronic check,No,1
30,23.89,681.72,4,8.0,Month-to-month,Credit card,Fiber optic,1
21,80.03,1538.33,4,0.0,Month-to-month,Credit card,No,0
13,29.23,323.86,1,8.0,One year,Credit card,Fiber optic,1
51,74.25,3245.49,1,0.0,Month-to-month,Credit card,DSL,1
38,95.2,3648.44,5,7.0,Month-to-month,Bank transfer,Fiber optic,1
46,62.36,2719.23,2,3.0,Two year,Mailed check,Fiber optic,0
52,49.94,2285.11,4,0.0,Month-to-month,Electronic check,No,1
71,24.74,1619.0,6,7.0,One year,Bank transfer,DSL,0
58,22.48,1151.37,2,6.0,Month-to-month,Credit card,No,0
45,63.0,2473.75,3,7.0,Month-to-month,Mailed check,Fiber optic,1
64,108.33,6276.29,7,4.0,One year,Credit card,No,0
35,44.41,1492.02,1,3.0,One year,Electronic check,DSL,1
71,77.41,4902.54,6,6.0,Two year,Mailed check,Fiber optic,0
55,88.43,4468.4,2,2.0,Month-to-month,Bank transfer,DSL,0
47,26.08,1159.06,7,8.0,Month-to-month,Mailed check,No,1
66,35.31,2176.66,3,7.0,Month-to-month,Credit card,DSL,1
38,53.13,1768.04,1,10.0,Month-to-month,Mailed check,Fiber optic,1
52,87.01,3881.01,6,0.0,Month-to-month,Credit card,Fiber optic,0
21,63.9,1150.13,2,6.0,Two year,Mailed check,Fiber optic,1
70,93.42,6016.48,3,6.0,One year,Electronic check,Fiber optic,0
45,106.76,4774.22,4,9.0,Month-to-month,Bank transfer,Fiber optic,1
57,95.84,4786.85,6,4.0,Month-to-month,Bank transfer,DSL,1
34,119.22,4083.46,3,10.0,Month-to-month,Bank transfer,Fiber optic,0
63,95.44,5971.44,7,2.0,Month-to-month,Electronic check,Fiber optic,1
6,105.22,537.12,4,9.0,One year,Mailed check,Fiber optic,1
9,103.24,794.76,3,5.0,Two year,Electronic check,DSL,0
37,93.03,3060.06,3,10.0,Month-to-month,Credit card,Fiber optic,1
53,100.18,4572.7,6,2.0,Month-to-month,Electronic check,No,1
59,113.47,6401.96,5,2.0,Month-to-month,Credit card,No,1
32,67.52,1853.67,1,6.0,Month-to-month,Electronic check,No,0
47,83.83,3981.5,6,6.0,Two year,Bank transfer,Fiber optic,0
40,71.49,2712.59,3,1.0,One year,Mailed check,DSL,0
70,105.1,7324.56,3,7.0,Two year,Electronic check,Fiber optic,1
48,63.14,3031.15,1,4.0,Two year,Mailed check,DSL,1
31,101.97,3007.29,7,1.0,Month-to-month,Electronic check,Fiber optic,1
70,99.94,7241.16,1,5.0,One year,Bank transfer,DSL,0
8,116.19,974.18,7,7.0,One year,Credit card,No,1
71,44.89,2938.09,1,,Month-to-month,Mailed check,DSL,1
12,90.96,955.27,4,10.0,Month-to-month,Mailed check,DSL,0
21,95.69,1854.05,1,6.0,One year,Electronic check,No,1
60,113.63,6099.69,4,2.0,Two year,Mailed check,DSL,1
53,110.69,5609.62,6,8.0,Month-to-month,Credit card,DSL,0
70,77.35,5012.08,5,9.0,Two year,Bank transfer,Fiber optic,0
54,77.92,3980.84,4,10.0,Two year,Credit card,No,0
46,36.73,1694.04,1,8.0,Two year,Credit card,DSL,1
25,117.5,2657.86,7,2.0,Month-to-month,Electronic check,Fiber optic,0
1,45.5,43.57,3,1.0,Month-to-month,Electronic check,DSL,1
9,92.47,763.18,4,2.0,One year,Mailed check,Fiber optic,0
22,99.58,2206.08,7,,Month-to-month,Credit card,DSL,1
3,64.12,188.11,5,3.0,Month-to-month,Electronic check,Fiber optic,1
37,41.12,1295.81,6,3.0,One year,Electronic check,Fiber optic,1
56,38.9,2139.21,2,9.0,Month-to-month,Credit card,No,0
70,105.65,6537.86,4,2.0,Month-to-month,Electronic check,Fiber optic,1
36,71.08,2545.82,4,4.0,Two year,Mailed check,Fiber optic,1
64,29.01,1788.81,2,3.0,Month-to-month,Credit card,Fiber optic,1
71,91.7,6056.88,3,3.0,Two year,Electronic check,DSL,1
62,45.02,,6,6.0,Month-to-month,Electronic check,DSL,1
34,107.64,3737.78,7,8.0,Month-to-month,Bank transfer,Fiber optic,1
24,50.96,1230.07,6,2.0,Month-to-month,Electronic check,DSL,1
71,40.03,2725.82,7,0.0,Month-to-month,Bank transfer,DSL,1
18,28.49,510.02,7,7.0,Month-to-month,Bank transfer,Fiber optic,1
30,71.15,1991.03,2,6.0,Two year,Electronic check,DSL,0
6,65.07,393.47,6,7.0,Two year,Bank transfer,DSL,1
58,95.13,5604.77,5,4.0,Month-to-month,Mailed check,Fiber optic,1
47,66.46,2740.85,7,8.0,Month-to-month,Credit card,Fiber optic,1
7,54.38,341.68,5,6.0,One year,Mailed check,DSL,0
16,46.17,667.8,1,8.0,Month-to-month,Bank transfer,Fiber optic,1
40,47.81,1689.06,4,8.0,Month-to-month,Mailed check,DSL,1
39,112.78,4083.96,6,5.0,Month-to-month,Credit card,No,1
58,36.51,1881.7,1,3.0,Month-to-month,Mailed check,Fiber optic,1
20,118.82,2302.99,4,6.0,Month-to-month,Bank transfer,Fiber optic,1
67,52.69,3072.44,5,7.0,Month-to-month,Credit card,Fiber optic,1
33,28.84,860.34,4,6.0,One year,Credit card,Fiber optic,0
60,44.87,2646.71,6,5.0,Month-to-month,Credit card,Fiber optic,1
18,25.84,432.43,1,3.0,Month-to-month,Bank transfer,Fiber optic,1
3,99.0,,3,1.0,Month-to-month,Bank transfer,No,1
4,71.26,287.77,7,4.0,Month-to-month,Mailed check,No,1
27,53.7,1517.9,4,9.0,Two year,Bank transfer,Fiber optic,0
69,86.2,5727.81,2,7.0,One year,Bank transfer,No,0
4,83.06,287.66,1,8.0,Two year,Bank transfer,DSL,1
27,113.99,2679.41,5,8.0,Month-to-month,Mailed check,Fiber optic,1
8,116.13,969.64,7,10.0,Month-to-month,Mailed check,Fiber optic,1
68,88.07,5904.0,1,2.0,Month-to-month,Electronic check,DSL,0
49,101.78,4989.68,1,7.0,Month-to-month,Bank transfer,No,1
55,99.24,5377.16,3,0.0,One year,Electronic check,No,1
52,69.13,3184.68,2,2.0,Month-to-month,Electronic check,No,1
48,90.45,,1,0.0,Month-to-month,Mailed check,Fiber optic,1
56,27.83,1573.47,3,,Month-to-month,Electronic check,Fiber optic,1
1,95.8,98.03,5,1.0,Month-to-month,Bank transfer,Fiber optic,1
63,116.18,6568.87,6,4.0,Month-to-month,Electronic check,DSL,1
54,28.5,,3,1.0,One year,Mailed check,No,1
54,103.61,4931.49,5,0.0,Two year,Bank transfer,DSL,0
29,113.3,3422.57,6,5.0,Month-to-month,Bank transfer,No,1
58,42.62,2225.85,1,4.0,Month-to-month,Bank transfer,Fiber optic,1
28,72.48,2019.96,6,4.0,Month-to-month,Mailed check,DSL,0
4,112.79,404.34,2,3.0,Month-to-month,Mailed check,DSL,1
66,116.02,7452.19,5,4.0,One year,Credit card,Fiber optic,1
17,32.79,547.31,6,0.0,Month-to-month,Mailed check,DSL,0
8,54.9,402.17,6,5.0,Two year,Bank transfer,No,0
45,89.81,4097.09,3,9.0,Two year,Credit card,DSL,0
17,42.16,736.12,5,1.0,Month-to-month,Electronic check,Fiber optic,1
62,52.48,3322.13,1,1.0,Two year,Electronic check,DSL,0
32,22.33,654.65,4,8.0,One year,Mailed check,DSL,0
1,35.35,35.31,7,5.0,Two year,Mailed check,DSL,0
69,76.23,5059.46,2,2.0,Month-to-month,Electronic check,No,1
38,85.31,3139.75,2,8.0,Two year,Credit card,Fiber optic,1
19,84.89,1524.98,5,3.0,Month-to-month,Bank transfer,No,1
49,97.84,4650.59,4,,Month-to-month,Bank transfer,Fiber optic,1
39,61.53,2104.82,4,6.0,Two year,Bank transfer,DSL,1
3,47.35,132.36,2,1.0,Month-to-month,Mailed check,DSL,1
55,21.56,1050.07,2,8.0,Month-to-month,Bank transfer,Fiber optic,1
29,40.66,1068.33,6,6.0,Month-to-month,Electronic check,DSL,0
51,51.24,2288.06,3,2.0,Month-to-month,Bank transfer,DSL,0
65,37.82,2194.03,6,8.0,Month-to-month,Credit card,Fiber optic,1
44,22.01,974.62,4,6.0,Month-to-month,Credit card,DSL,1
49,35.74,1681.15,3,9.0,Month-to-month,Mailed check,Fiber optic,0
19,86.61,1406.53,2,9.0,Two year,Electronic check,Fiber optic,1
18,82.96,1504.79,5,3.0,Month-to-month,Credit card,Fiber optic,1
30,113.57,3515.76,2,10.0,Two year,Bank transfer,Fiber optic,1
62,99.82,6350.28,7,0.0,One year,Credit card,Fiber optic,0
38,76.78,2960.25,3,3.0,One year,Mailed check,Fiber optic,1
26,33.76,920.28,6,6.0,One year,Credit card,DSL,1
57,76.41,4212.86,4,5.0,Two year,Credit card,DSL,1
62,26.16,1690.88,3,2.0,Month-to-month,Electronic check,DSL,1
65,63.09,4263.94,4,2.0,One year,Bank transfer,Fiber optic,0
22,59.03,1185.22,4,8.0,Two year,Mailed check,Fiber optic,1
52,62.78,3338.62,4,9.0,One year,Bank transfer,Fiber optic,1
43,47.98,2080.67,7,7.0,Month-to-month,Mailed check,DSL,0
33,88.58,2938.22,5,5.0,One year,Electronic check,DSL,1
29,104.09,3106.92,1,8.0,One year,Mailed check,DSL,1
9,96.85,807.88,1,2.0,Month-to-month,Bank transfer,No,1
20,82.78,1539.73,1,10.0,One year,Mailed check,DSL,0
40,73.83,2888.26,5,1.0,Two year,Mailed check,Fiber optic,0
64,23.11,1475.43,2,6.0,Month-to-month,Mailed check,DSL,1
63,92.29,5965.14,3,3.0,Month-to-month,Bank transfer,Fiber optic,0
14,74.5,1069.25,6,9.0,Month-to-month,Mailed check,Fiber optic,1
49,47.07,2293.21,1,2.0,One year,Electronic check,DSL,0
7,52.78,384.75,2,7.0,Month-to-month,Bank transfer,Fiber optic,1
49,113.56,4928.57,1,1.0,One year,Electronic check,Fiber optic,1
25,82.44,2143.58,2,1.0,Month-to-month,Mailed check,Fiber optic,1
33,67.59,1924.53,1,4.0,Two year,Bank transfer,No,1
52,82.09,4102.73,5,8.0,One year,Mailed check,No,1
31,61.37,1651.42,6,3.0,Two year,Electronic check,Fiber optic,0
59,67.02,3810.25,2,7.0,Month-to-month,Mailed check,No,0
39,49.03,1774.54,4,6.0,Month-to-month,Mailed check,No,1
72,63.99,3991.39,3,10.0,One year,Bank transfer,Fiber optic,0
46,88.56,3990.75,1,3.0,Month-to-month,Bank transfer,Fiber optic,0
22,23.99,525.8,4,2.0,Month-to-month,Electronic check,Fiber optic,0
56,99.5,4930.31,5,9.0,Month-to-month,Credit card,Fiber optic,1
30,48.3,1432.9,2,3.0,Month-to-month,Bank transfer,Fiber optic,1
39,88.26,3049.08,6,2.0,One year,Electronic check,No,0
10,84.27,739.45,7,9.0,Month-to-month,Mailed check,No,1
9,85.26,674.85,1,8.0,Month-to-month,Credit card,DSL,1
42,80.81,3291.57,2,0.0,Month-to-month,Bank transfer,Fiber optic,1
14,115.91,1632.08,3,9.0,Month-to-month,Mailed check,Fiber optic,1
72,70.83,4943.6,6,6.0,Month-to-month,Credit card,No,1
62,93.23,5848.87,1,3.0,Two year,Bank transfer,Fiber optic,1
51,90.54,4471.14,4,5.0,Two year,Bank transfer,DSL,0
53,43.63,2334.28,4,2.0,Two year,Electronic check,DSL,0
43,48.33,2172.34,1,1.0,Month-to-month,Bank transfer,DSL,1
5,62.4,289.6,1,1.0,Month-to-month,Electronic check,DSL,1
29,47.77,1219.07,1,1.0,Month-to-month,Credit card,DSL,1
36,56.67,1789.35,1,6.0,One year,Electronic check,DSL,1
66,59.1,3781.61,4,8.0,One year,Electronic check,No,1
16,80.39,1234.05,7,5.0,One year,Mailed check,Fiber optic,0
36,41.99,1340.59,3,0.0,Month-to-month,Mailed check,Fiber optic,1
25,100.43,2577.09,2,4.0,One year,Mailed check,Fiber optic,1
10,63.75,663.86,2,8.0,Two year,Credit card,DSL,1
8,90.62,652.93,7,9.0,Month-to-month,Mailed check,Fiber optic,1
27,28.14,677.25,7,8.0,Two year,Credit card,No,1
6,67.0,358.9,5,4.0,One year,Electronic check,Fiber optic,0
5,22.82,105.83,4,7.0,Month-to-month,Bank transfer,Fiber optic,1
26,87.59,2324.36,2,0.0,Two year,Electronic check,DSL,1
15,54.37,790.42,7,4.0,Two year,Electronic check,Fiber optic,1
40,114.93,3969.73,1,5.0,One year,Electronic check,Fiber optic,1
2,52.41,99.01,2,,Month-to-month,Mailed check,DSL,1
22,76.38,1458.66,5,,Month-to-month,Mailed check,Fiber optic,1
33,45.74,1405.64,2,8.0,One year,Credit card,Fiber optic,1
70,82.01,5342.89,1,2.0,Month-to-month,Credit card,DSL,1
46,66.7,3005.83,5,1.0,Month-to-month,Bank transfer,DSL,1
64,57.06,3505.37,1,6.0,Month-to-month,Mailed check,Fiber optic,1
25,40.37,,2,3.0,Month-to-month,Mailed check,DSL,1
33,31.15,877.1,5,10.0,One year,Mailed check,Fiber optic,1
31,31.99,996.45,2,10.0,Month-to-month,Electronic check,No,1
64,119.9,6557.33,6,9.0,Month-to-month,Bank transfer,Fiber optic,1
70,61.23,3904.03,1,3.0,Month-to-month,Credit card,DSL,1
70,20.19,1449.95,5,9.0,Month-to-month,Bank transfer,Fiber optic,0
55,115.29,6265.38,1,2.0,Month-to-month,Bank transfer,Fiber optic,1
37,22.0,719.9,6,2.0,Month-to-month,Mailed check,Fiber optic,1
39,61.86,2287.47,6,10.0,Month-to-month,Credit card,No,1
71,91.75,6477.65,6,7.0,Month-to-month,Credit card,Fiber optic,1
21,111.46,2428.36,2,0.0,One year,Mailed check,DSL,1
25,91.29,2229.45,2,,Month-to-month,Credit card,Fiber optic,1
65,66.36,3687.68,7,1.0,One year,Mailed check,No,1
28,117.44,3123.71,6,7.0,Month-to-month,Electronic check,Fiber optic,1
17,23.93,358.23,2,4.0,One year,Mailed check,No,1
41,118.69,4182.85,1,0.0,One year,Credit card,Fiber optic,1
24,104.94,2442.25,3,8.0,Month-to-month,Mailed check,No,1
65,112.89,7377.36,5,7.0,One year,Credit card,Fiber optic,0
66,45.48,2573.08,3,9.0,One year,Mailed check,No,1
23,34.25,,6,6.0,Month-to-month,Mailed check,No,0
39,86.33,3337.5,4,8.0,One year,Electronic check,No,0
71,71.59,5084.91,7,9.0,One year,Credit card,No,0
54,72.32,3510.63,7,10.0,Month-to-month,Mailed check,Fiber optic,1
16,112.46,,4,6.0,Two year,Electronic check,Fiber optic,0
43,82.01,3081.92,6,0.0,Month-to-month,Electronic check,Fiber optic,1
45,51.11,2064.84,4,3.0,One year,Bank transfer,Fiber optic,0
48,60.01,2622.84,1,6.0,Two year,Credit card,Fiber optic,1
2,33.35,60.96,3,1.0,Two year,Credit card,Fiber optic,1
22,39.23,763.81,3,1.0,One year,Electronic check,Fiber optic,0
62,34.34,1890.07,7,4.0,One year,Bank transfer,Fiber optic,0
18,101.03,1873.63,6,10.0,Month-to-month,Mailed check,No,1
22,90.49,2004.27,2,3.0,Month-to-month,Bank transfer,Fiber optic,1
24,73.03,1610.57,1,10.0,Two year,Bank transfer,Fiber optic,1
13,57.44,776.24,4,8.0,Month-to-month,Electronic check,No,1
12,86.85,935.67,4,3.0,Two year,Electronic check,Fiber optic,0
25,101.29,2358.45,6,2.0,Month-to-month,Bank transfer,Fiber optic,1
63,108.12,6898.1,2,9.0,Month-to-month,Bank transfer,Fiber optic,1
1,74.7,70.11,6,8.0,Month-to-month,Credit card,Fiber optic,1
21,101.99,1921.03,3,6.0,Month-to-month,Credit card,Fiber optic,1
5,71.13,328.52,3,10.0,Month-to-month,Electronic check,DSL,1
41,67.45,2627.58,3,1.0,Month-to-month,Bank transfer,DSL,1
19,106.54,1971.89,7,4.0,Two year,Mailed check,No,0
58,58.64,3166.86,3,6.0,One year,Mailed check,No,1
43,59.59,2399.05,4,0.0,One year,Electronic check,Fiber optic,1
57,50.49,2598.16,7,10.0,Month-to-month,Credit card,No,1
46,71.87,3164.09,1,6.0,Month-to-month,Electronic check,Fiber optic,1
32,74.49,2130.75,4,3.0,One year,Credit card,DSL,0
62,86.05,5460.5,5,2.0,Month-to-month,Credit card,Fiber optic,0
35,63.05,2205.59,7,0.0,Month-to-month,Credit card,DSL,1
69,41.78,2686.95,1,6.0,Two year,Electronic check,DSL,0
72,106.68,7676.7,6,10.0,Month-to-month,Mailed check,No,1
43,54.6,1998.92,6,0.0,Two year,Electronic check,Fiber optic,1
49,112.29,,3,4.0,Month-to-month,Bank transfer,DSL,1
19,40.74,726.11,6,7.0,Month-to-month,Credit card,Fiber optic,1
59,76.01,4233.27,4,4.0,Month-to-month,Bank transfer,Fiber optic,1
49,73.66,3608.42,5,7.0,Two year,Electronic check,Fiber optic,1
65,102.86,6970.46,3,7.0,One year,Mailed check,DSL,0
20,33.89,627.64,2,10.0,One year,Electronic check,Fiber optic,0
57,110.99,5821.07,6,6.0,Month-to-month,Mailed check,Fiber optic,1
34,73.14,2417.39,2,,Two year,Mailed check,Fiber optic,0
14,78.61,997.37,2,3.0,One year,Credit card,No,0
13,71.02,810.87,7,1.0,One year,Electronic check,Fiber optic,0
41,23.6,1008.54,7,1.0,One year,Mailed check,No,1
24,69.71,1692.96,5,1.0,One year,Electronic check,No,0
8,46.35,386.26,5,9.0,One year,Credit card,DSL,1
31,54.27,1503.31,3,0.0,Month-to-month,Mailed check,DSL,1
48,84.91,3478.84,5,5.0,Two year,Credit card,Fiber optic,0
23,69.77,1504.34,5,6.0,Month-to-month,Bank transfer,No,1
69,29.32,2097.37,4,7.0,Two year,Mailed check,DSL,1
57,27.3,1365.73,5,0.0,Month-to-month,Bank transfer,DSL,1
37,38.57,1246.47,4,9.0,Month-to-month,Electronic check,Fiber optic,1
68,39.09,2296.06,7,,Month-to-month,Credit card,No,0
32,80.83,2594.33,5,0.0,One year,Credit card,DSL,1
11,37.78,418.57,3,1.0,Month-to-month,Mailed check,Fiber optic,1
3,108.17,320.96,5,9.0,Two year,Electronic check,DSL,1
